match_type,pattern,category,priority,note
contains,park,background,85,公園
contains,school,background,85,学校背景
suffix,_uniform,costume,100,制服
contains,maid,costume,95,メイド
contains,idol,costume,90,アイドル衣装
contains,kimono,costume,95,着物
contains,yukata,costume,95,浴衣
suffix,_dress,costume,95,ドレス
contains,bikini,costume,95,ビキニ
contains,swimsuit,costume,95,水着
contains,armor,costume,90,鎧
contains,robe,costume,85,ローブ
contains,coat,costume,85,コート
contains,jacket,costume,85,ジャケット
contains,casual_clothes,costume,80,私服
contains,solo,meta,100,単独
contains,1girl,meta,100,人数
contains,1boy,meta,100,人数
contains,multiple_girls,meta,95,人数
contains,multiple_boys,meta,95,人数
contains,ai_generated,meta,100,AI生成
contains,watermark,meta,100,透かし
contains,signature,meta,95,署名
contains,lowres,meta,95,低解像度
contains,highres,meta,95,高解像度
contains,breast,appearance,95,胸サイズ系
contains,nipple,appearance,95,乳首
contains,navel,appearance,90,へそ
contains,collarbone,appearance,90,鎖骨
contains,ass,appearance,90,臀部
contains,penis,appearance,90,男性器
contains,pussy,appearance,90,女性器
contains,vaginal,appearance,90,女性器関連
contains,twintail,appearance,95,髪型
contains,hair_ornament,appearance,95,髪飾り
contains,bow,appearance,90,髪リボン
contains,ribbon,appearance,90,リボン
contains,frill,appearance,90,フリル
contains,open_mouth,emotion,90,口開き表情
contains,closed_mouth,emotion,90,口閉じ
contains,sweat,emotion,85,汗表情
contains,saliva,emotion,85,よだれ
contains,spread_legs,pose,95,脚ポーズ
contains,arms_behind_back,pose,95,腕拘束ポーズ
contains,on_back,pose,90,仰向け
contains,on_bed,pose,90,ベッド上
contains,bound,pose,90,拘束
contains,bondage,pose,90,拘束
contains,restrained,pose,90,拘束
contains,rope,pose,85,拘束具
contains,gag,pose,85,口拘束
contains,gagged,pose,85,口拘束
contains,shibari,pose,85,縛り
contains,shirt,costume,90,シャツ
contains,skirt,costume,90,スカート
contains,underwear,costume,90,下着
contains,panties,costume,90,パンツ
contains,thighhigh,costume,90,ニーソ
contains,long_sleeves,costume,90,袖
contains,white_shirt,costume,90,色付き衣装
contains,nude,appearance,95,裸体
contains,completely_nude,appearance,95,全裸
contains,flat_chest,appearance,95,胸サイズ
contains,small_breasts,appearance,95,胸サイズ
contains,medium_breasts,appearance,95,胸サイズ
contains,bed,background,80,ベッド環境
contains,room,background,80,室内環境
contains,hetero,meta,80,カップリング
contains,sex,meta,80,行為タグ
contains,bdsm,meta,80,ジャンル
contains,censored,meta,80,検閲
contains,mosaic,meta,80,モザイク
contains,loli,appearance,95,体型
contains,bare_shoulders,appearance,90,露出
contains,thigh,appearance,90,脚部
contains,feet,appearance,90,足
contains,toe,appearance,90,足指
contains,stomach,appearance,90,腹部
contains,armpit,appearance,90,脇
contains,leg,appearance,85,脚
contains,tail,appearance,85,しっぽ
contains,teeth,appearance,85,歯
contains,tongue,appearance,85,舌
contains,tongue_out,appearance,90,舌出し
contains,ahoge,appearance,90,アホ毛
contains,ponytail,appearance,90,ポニーテール
contains,braid,appearance,90,三つ編み
contains,two_side_up,appearance,90,ツーサイドアップ
contains,sidelock,appearance,85,もみあげ
contains,crossed_bangs,appearance,85,前髪
contains,hair_flower,appearance,90,髪花
contains,hairclip,appearance,90,髪留め
contains,arms_up,pose,95,腕ポーズ
contains,holding,pose,90,持つ
contains,clothes_lift,pose,90,衣服動作
contains,trembling,emotion,85,震え
contains,pillow,background,85,寝具
contains,flower,background,80,植物
contains,day,background,80,昼
contains,simple_background,background,90,背景
contains,pov,composition,95,視点
contains,white_background,composition,90,背景色
contains,dress,costume,95,ドレス
contains,serafuku,costume,95,セーラー服
contains,short_sleeve,costume,90,袖
contains,pantyhose,costume,90,タイツ
contains,glove,costume,90,手袋
contains,jewelry,costume,90,装飾
contains,collar,costume,90,首輪
contains,sailor_collar,costume,95,制服襟
contains,official_alternate_costume,costume,85,別衣装
contains,no_shoes,costume,85,裸足衣装
contains,barefoot,appearance,85,裸足
contains,chain,meta,80,拘束具
contains,cuff,meta,80,拘束具
contains,rape,meta,80,ジャンル
contains,heart,meta,75,装飾
contains,parted_lips,emotion,90,口表情
contains,drool,emotion,85,よだれ
contains,drooling,emotion,85,よだれ
contains,wet,emotion,80,濡れ表現
contains,one_eye_closed,emotion,90,ウィンク
contains,faceless,appearance,85,顔なし
contains,cleavage,appearance,90,胸の谷間
contains,fat,appearance,85,体型
contains,soles,appearance,90,足裏
contains,testicles,appearance,90,男性器
contains,animal_ear_fluff,appearance,85,耳毛
contains,straddling,pose,90,跨り
contains,girl_on_top,pose,90,体位
contains,missionary,pose,90,体位
contains,frogtie,pose,85,拘束
contains,blindfold,pose,85,目隠し
contains,shackle,pose,85,拘束
contains,oral,pose,85,行為
contains,fellatio,pose,85,行為
contains,object_insertion,pose,85,行為
contains,open_clothes,costume,90,衣服状態
contains,clothing_aside,costume,90,衣服ずらし
contains,bra,costume,95,下着
contains,sock,costume,90,靴下
contains,shoe,costume,90,靴
contains,hat,costume,90,帽子
contains,hairband,costume,90,髪飾り
contains,choker,costume,90,アクセサリ
contains,apron,costume,90,衣装
contains,sleeveless,costume,90,袖
contains,off_shoulder,costume,90,衣服
contains,window,background,85,室内環境
contains,ocean,background,90,海
contains,motion_lines,composition,90,漫画表現
contains,speech_bubble,composition,90,漫画表現
contains,comic,composition,90,漫画表現
contains,monochrome,meta,90,色表現
contains,greyscale,meta,90,色表現
contains,2girl,meta,95,人数
contains,age_difference,meta,80,関係タグ
contains,virtual_youtuber,meta,85,キャラ属性
contains,cum,meta,80,成人表現
contains,vibrator,meta,80,成人表現
contains,dildo,meta,80,成人表現
contains,cum_overflow,meta,80,成人表現
contains,cum_on_body,meta,80,成人表現
contains,anus,appearance,95,身体部位
contains,erection,appearance,90,身体状態
contains,bare_arms,appearance,90,身体露出
contains,blunt_bangs,appearance,90,前髪
contains,skindentation,appearance,85,身体圧痕
contains,cat_girl,appearance,90,キャラ属性
contains,hair_bun,appearance,90,髪型
contains,all_fours,pose,95,体勢
contains,doggystyle,pose,95,体位
contains,on_side,pose,90,体勢
contains,wariza,pose,90,座り方
contains,knees_up,pose,90,脚ポーズ
contains,hand_on_another,pose,90,接触ポーズ
contains,sleeping,pose,90,睡眠
contains,suspension,pose,90,拘束姿勢
contains,cowgirl_position,pose,95,体位
contains,neckerchief,costume,90,衣装
contains,puffy_sleeve,costume,90,袖
contains,detached_sleeve,costume,90,衣装
contains,cardigan,costume,90,衣装
contains,hood,costume,90,衣装
contains,strapless,costume,90,衣装
contains,black_footwear,costume,90,履物
contains,necklace,costume,90,アクセサリ
contains,bell,costume,85,装飾
contains,neck_bell,costume,85,装飾
contains,jingle_bell,costume,85,装飾
contains,eyewear_on_head,costume,90,アクセサリ
contains,bag,costume,85,持ち物
contains,stuffed_toy,costume,85,小物
contains,food,background,80,物体
contains,curtain,background,85,室内背景
contains,cloud,background,85,空
contains,sand,background,85,地面
contains,lamp,background,85,室内物体
contains,multiple_views,composition,90,図解構図
contains,blurry,composition,85,ぼかし表現
contains,alternate_costume,meta,85,衣装差分
contains,2boys,meta,95,人数タグ
contains,:d,emotion,85,顔文字表情
contains,anal,meta,80,成人ジャンル
contains,facial,meta,80,成人ジャンル
contains,irrumatio,meta,80,成人ジャンル
contains,orgasm,emotion,85,状態
contains,ejaculation,meta,80,成人ジャンル
contains,leash,meta,80,拘束具
contains,tape,meta,80,拘束具
contains,bottomless,costume,90,衣装状態
contains,torn_clothes,costume,90,衣服状態
contains,clothes_pull,costume,90,衣服動作
contains,chair,background,85,家具
contains,couch,background,85,家具
contains,stone_wall,background,85,建築
contains,tiles,background,85,床素材
contains,tree,background,85,自然
contains,pool,background,90,水場
contains,bent_over,pose,95,前屈姿勢
contains,arms_behind_head,pose,95,腕ポーズ
contains,hand_up,pose,90,手ポーズ
contains,torso_grab,pose,90,接触ポーズ
contains,grabbing_from_behind,pose,90,接触ポーズ
contains,facing_viewer,pose,90,視線
contains,licking,pose,85,動作
contains,groping,pose,85,接触
contains,top-down_bottom-up,pose,85,体位
contains,back,appearance,85,身体部位
contains,groin,appearance,85,身体部位
contains,kneepit,appearance,85,身体部位
contains,bald,appearance,85,髪状態
contains,hair_over_one_eye,appearance,90,髪型
contains,one_side_up,appearance,90,髪型
contains,symbol-shaped_pupil,appearance,90,瞳形状
contains,dark-skinned_male,appearance,90,人物特徴
contains,ahegao,emotion,95,表情
contains,heavy_breathing,emotion,90,状態
contains,breath,emotion,85,呼吸表現
contains,:o,emotion,85,顔文字
contains,scrunchie,costume,90,髪アクセサリ
contains,necktie,costume,90,衣装
contains,halterneck,costume,90,衣装
contains,earring,costume,90,アクセサリ
contains,piercing,costume,90,アクセサリ
contains,shorts,costume,90,衣装
contains,striped_clothes,costume,90,衣装柄
contains,buruma,costume,95,衣装
contains,kneehigh,costume,90,靴下
contains,garter_strap,costume,90,衣装
contains,leotard,costume,95,衣装
contains,backpack,costume,90,持ち物
contains,wing_ornament,costume,85,装飾
contains,arm_support,costume,85,装具
contains,topless,costume,95,衣装状態
contains,stuffed_animal,costume,85,小物
contains,dutch_angle,composition,90,カメラ角度
contains,cross-section,composition,90,図解構図
contains,polka_dot,composition,85,柄表現
contains,injury,meta,85,状態タグ
contains,whip_mark,meta,85,傷表現
contains,stationary_restraint,meta,85,拘束器具
contains,threesome,meta,85,人数関係
contains,uterus,appearance,90,身体部位
contains,midriff,appearance,90,腹部露出
contains,v-shaped_eyebrow,appearance,90,眉形状
contains,mole,appearance,90,身体特徴
contains,bob_cut,appearance,90,髪型
contains,hair_intake,appearance,90,髪型
contains,double_bun,appearance,90,髪型
contains,animal_hand,appearance,90,身体特徴
contains,folded,pose,90,体勢
contains,squatting,pose,90,体勢
contains,arm_up,pose,90,腕ポーズ
contains,hands_up,pose,90,腕ポーズ
contains,hugging_object,pose,90,抱き動作
contains,head_grab,pose,90,接触ポーズ
contains,foot_focus,pose,85,部位フォーカス
contains,white_footwear,costume,90,履物
contains,sleeves_past_wrist,costume,90,袖
contains,clothing_cutout,costume,90,衣装
contains,harness,costume,90,衣装
contains,round_eyewear,costume,90,眼鏡
contains,headphone,costume,90,アクセサリ
contains,camisole,costume,90,衣装
contains,pants,costume,90,衣装
contains,crop_top,costume,90,衣装
contains,beret,costume,90,帽子
contains,brick_wall,background,85,壁
contains,desk,background,85,家具
contains,phone,background,85,小物
contains,swim_ring,background,85,小物
contains,innertube,background,85,浮具
contains,foot_out_of_frame,composition,85,構図
contains,bar_censor,composition,85,検閲表現
contains,wide-eyed,emotion,90,表情
contains,hug,pose,90,抱擁
contains,3girl,meta,95,人数
contains,1other,meta,90,人数
contains,yuri,meta,85,関係タグ
contains,blood,meta,85,状態タグ
contains,torture,meta,80,ジャンル
contains,bead,meta,80,小物
contains,fingering,pose,90,行為
contains,masturbation,pose,90,行為
contains,pee,meta,80,排泄表現
contains,peeing,meta,80,排泄表現
contains,pantyshot,costume,90,衣服露出
contains,double_penetration,pose,90,行為
contains,spanked,pose,90,行為
contains,belt,costume,90,衣装
contains,hitachi_magic_wand,meta,80,成人小物
contains,zettai_ryouiki,appearance,90,脚部特徴
contains,finger_in_another,pose,90,接触行為
contains,high_heel,costume,90,履物
contains,cleft_of_venus,appearance,90,身体部位
contains,fox_girl,appearance,90,キャラ属性
contains,animal_print,composition,85,柄
contains,front-tie_top,costume,90,衣装
contains,sibling,meta,85,関係
contains,on_floor,background,85,位置
contains,boot,costume,90,履物
contains,tile_floor,background,85,床
contains,wavy_mouth,emotion,90,口表情
contains,foreshortening,composition,85,構図
contains,cup,background,85,小物
contains,sunlight,background,85,光
contains,twitter_username,meta,85,メタ情報
contains,randoseru,costume,90,衣装
contains,slap_mark,meta,85,痕跡
contains,plant,background,85,植物
contains,bruise,meta,85,傷
contains,panty_pull,costume,90,衣服動作
contains,sideboob,appearance,90,身体露出
contains,v,pose,85,手ポーズ
contains,reverse_suspended_congress,pose,90,体位
contains,hair_bobble,costume,90,髪アクセ
contains,recording,meta,85,メタ演出
contains,name_tag,costume,90,アクセサリ
contains,tile_wall,background,85,壁
contains,towel,costume,90,衣装
contains,reverse_upright_straddle,pose,90,体位
contains,public_indecency,meta,80,ジャンル
contains,3boy,meta,95,人数
contains,deepthroat,pose,90,行為
contains,playboy_bunny,costume,90,衣装
contains,strap_slip,costume,90,衣服状態
contains,nail_polish,costume,90,装飾
contains,slave,meta,80,関係
contains,cow_print,composition,85,柄
contains,weapon,meta,85,アイテム
contains,chinese_clothes,costume,90,衣装
contains,knee_up,pose,90,脚ポーズ
contains,locker,background,85,家具
contains,4girl,meta,95,人数タグ
contains,deep_penetration,pose,90,行為
contains,hair_flap,appearance,90,髪型
contains,wading,pose,85,水中動作
contains,imminent_penetration,pose,90,行為
contains,rose,background,85,植物
contains,sneaker,costume,90,履物
contains,spitroast,pose,90,体位
contains,multicolored_clothe,costume,85,衣装柄
contains,demon_girl,appearance,90,キャラ属性
contains,^_^,emotion,85,顔文字表情
contains,lactation,appearance,90,身体状態
contains,partially_submerged,pose,85,水中状態
contains,bukkake,meta,80,成人ジャンル
contains,table,background,85,家具
contains,hair_spread_out,appearance,85,髪状態
contains,parted_bang,appearance,90,前髪
contains,sheet_grab,pose,85,接触ポーズ
contains,profile,composition,90,構図
contains,handjob,pose,90,行為
contains,kiss,pose,90,接触行為
contains,wooden_floor,background,85,床
contains,letterboxed,composition,85,画面表現
contains,star_(symbol),composition,85,装飾
contains,condom,meta,80,成人小物
contains,head_tilt,pose,90,頭ポーズ
contains,prison,background,85,場所
contains,english_text,meta,85,文字
contains,spanking,pose,90,行為
contains,loafer,costume,90,履物
contains,mouth_hold,pose,85,口動作
contains,gangbang,meta,80,成人ジャンル
contains,mask,costume,90,アクセサリ
contains,lingerie,costume,90,下着
contains,x-ray,composition,85,透視表現
contains,blazer,costume,90,衣装
contains,hands_on_another,pose,90,接触ポーズ
contains,defloration,meta,80,成人ジャンル
contains,umbrella,background,85,小物
contains,petal,background,85,植物
contains,against_wall,pose,85,位置ポーズ
contains,whip,meta,80,道具
contains,underboob,appearance,90,胸露出
contains,toilet,background,85,場所
contains,cat_paw,appearance,90,身体特徴
contains,fruit,background,85,食物
contains,horizon,background,85,風景
contains,battery_indicator,meta,85,UI表示
contains,o-ring,meta,80,成人器具
contains,ball,background,80,物体
contains,chibi,meta,85,キャラ表現
contains,?,emotion,80,記号表情
contains,blur_censor,composition,85,検閲表現
contains,body_writing,appearance,85,身体装飾
contains,sketch,composition,85,描画スタイル
contains,amputee,appearance,85,身体特徴
contains,head_out_of_frame,composition,85,構図
contains,brown_footwear,costume,90,履物
contains,exhibitionism,meta,80,ジャンル
contains,asphyxiation,meta,80,状態
contains,tatami,background,85,床
contains,strangling,pose,85,行為
contains,box,background,80,物体
contains,fur_trim,costume,90,衣装装飾
contains,seiza,pose,90,座り方
contains,sister,meta,85,関係
contains,fucked_silly,emotion,80,状態
contains,forehead,appearance,90,身体部位
contains,petite,appearance,90,体型
contains,steam,background,85,環境
contains,bridal_garter,costume,90,衣装
contains,latex,costume,90,素材
contains,hogtie,pose,90,拘束
contains,outstretched_arm,pose,90,腕ポーズ
contains,cut,appearance,85,傷
contains,motion_blur,composition,85,描写
contains,shadow,composition,85,光表現
contains,border,composition,85,フレーム
contains,button,costume,90,衣装部品
contains,lace_trim,costume,90,衣装装飾
contains,footjob,pose,90,行為
contains,cow_girl,appearance,90,キャラ属性
contains,milking_machine,meta,80,成人器具
contains,zzz,emotion,85,睡眠表現
contains,shiny_clothe,costume,90,衣装素材
contains,controller,background,80,小物
contains,white_border,composition,85,枠
contains,ear_tag,costume,85,アクセサリ
contains,prone_bone,pose,90,体位
contains,spaghetti_strap,costume,90,衣装
contains,japanese_clothe,costume,90,衣装
contains,paw_pose,pose,90,手ポーズ
contains,torogao,emotion,90,表情
contains,boy_on_top,pose,90,体位
contains,gun,meta,85,武器
contains,pom_pom_(clothe),costume,85,衣装装飾
contains,hair_ring,appearance,90,髪アクセサリ
contains,dot_nose,appearance,90,顔特徴
contains,red_pupil,appearance,90,瞳色
contains,facing_away,pose,90,向きポーズ
contains,upside-down,pose,90,姿勢
contains,split,pose,90,脚ポーズ
contains,spooning,pose,90,体位
contains,lifting_person,pose,90,動作
contains,clenched_hand,pose,90,手ポーズ
contains,eating,pose,85,動作
contains,door,background,85,建物部品
contains,building,background,85,建物
contains,book,background,85,小物
contains,chalkboard,background,85,学校設備
contains,bottle,background,85,小物
contains,cage,background,85,構造物
contains,moon,background,85,天体
contains,feather,background,85,自然
contains,popsicle,background,85,食べ物
contains,arm_garter,costume,90,衣装
contains,denim,costume,90,衣装素材
contains,mary_jane,costume,90,履物
contains,fishnet,costume,90,衣装
contains,peaked_cap,costume,90,帽子
contains,suspender,costume,90,衣装
contains,crown,costume,90,装飾
contains,expressionless,emotion,90,表情
contains,raised_eyebrow,emotion,90,表情
contains,wince,emotion,90,表情
contains,>_<,emotion,85,顔文字
contains,fake_screenshot,composition,85,画面表現
contains,out-of-frame_censor,composition,85,検閲表現
contains,jaggy_line,composition,85,描画表現
contains,sound_effect,composition,85,漫画演出
contains,twins,meta,85,関係
contains,horse_girl,appearance,90,キャラ属性
contains,public_nudity,meta,80,ジャンル
contains,humiliation,meta,80,ジャンル
contains,interracial,meta,80,関係
contains,meme_attire,meta,80,ネタ
contains,tally,meta,85,記号
contains,starfish,meta,85,形状
contains,remote_control,background,80,小物
contains,spreader_bar,meta,80,拘束器具
contains,bandaid,appearance,85,身体装飾
contains,paizuri,pose,90,行為
contains,cunnilingus,pose,90,行為
contains,@_@,emotion,85,顔文字表情
contains,+_+,emotion,85,顔文字表情
contains,;d,emotion,85,顔文字表情
contains,!,emotion,80,記号表情
contains,upright_straddle,pose,90,体位
contains,full_nelson,pose,90,拘束姿勢
contains,hand_on_own_hip,pose,90,腕ポーズ
contains,adjusting_clothe,pose,85,衣服動作
contains,interlocked_finger,pose,90,手ポーズ
contains,crossed_arm,pose,90,腕ポーズ
contains,swept_bang,appearance,90,前髪
contains,single_side_bun,appearance,90,髪型
contains,rib,appearance,85,身体部位
contains,lower_body,appearance,85,身体部位
contains,cross-shaped_pupil,appearance,90,瞳形状
contains,rifle,meta,85,武器
contains,lock,background,80,物体
contains,tray,background,85,小物
contains,drinking_straw,background,85,小物
contains,cat,background,80,動物
contains,bird,background,80,動物
contains,strawberry,background,85,食物
contains,teddy_bear,background,85,小物
contains,fence,background,85,構造物
contains,crescent,background,85,天体
contains,babydoll,costume,90,衣装
contains,side_slit,costume,90,衣装
contains,tinted_eyewear,costume,90,アクセサリ
contains,brooch,costume,90,アクセサリ
contains,suit,costume,90,衣装
contains,shrug_(clothing),costume,90,衣装
contains,spoken_ellipsis,composition,85,文字演出
contains,2koma,composition,85,漫画構図
contains,shaded_face,composition,85,影表現
contains,artist_name,meta,85,メタタグ
contains,character_name,meta,85,メタタグ
contains,male_focus,meta,85,人物焦点
contains,size_difference,meta,85,関係タグ
contains,in_container,meta,80,状況タグ
contains,used_tissue,meta,80,小物
contains,shared_bathing,meta,80,シチュエーション
contains,through_wall,meta,80,シチュエーション
contains,glory_wall,meta,80,シチュエーション
contains,incest,meta,80,関係タグ
contains,femdom,meta,80,関係タグ
contains,animal,background,80,動物
contains,mouth_pull,pose,90,口動作
contains,notice_line,composition,85,漫画演出
contains,straight-on,composition,85,視点
contains,cake,background,85,食べ物
contains,frown,emotion,90,表情
contains,picture_frame,background,85,装飾
contains,ugly_man,appearance,85,人物特徴
contains,ascot,costume,90,衣装
contains,no_human,meta,85,状態タグ
contains,out_of_frame,composition,85,構図
contains,4boy,meta,95,人数タグ
contains,photo_(object),background,85,小物
contains,pink_footwear,costume,90,履物
contains,stuck,pose,85,状況
contains,shoulder_blade,appearance,85,身体部位
contains,dot_mouth,appearance,90,口特徴
contains,road,background,85,場所
contains,bandage,appearance,85,身体装飾
contains,thought_bubble,composition,85,漫画演出
contains,reflection,composition,85,光表現
contains,unworn_clothe,costume,90,衣装状態
contains,barcode,meta,85,メタ要素
contains,:3,emotion,85,顔文字
contains,oekaki,composition,85,描画スタイル
contains,riding_crop,meta,85,道具
contains,drink,background,85,飲み物
contains,pet_play,meta,80,ジャンル
contains,plate,background,85,食器
contains,pajama,costume,90,衣装
contains,arms_around_neck,pose,90,接触ポーズ
contains,nurse_cap,costume,90,帽子
contains,yokozuwari,pose,90,座り方
contains,:t,emotion,85,顔文字
contains,dark,background,85,環境
contains,alternate_hairstyle,appearance,90,髪型
contains,candle,background,85,小物
contains,emphasis_line,composition,85,漫画演出
contains,nurse,costume,90,衣装
contains,text_focus,composition,85,構図
contains,bathtub,background,85,場所
contains,glaring,emotion,90,表情
contains,tentacle,meta,80,ジャンル
contains,thong,costume,90,下着
contains,kemonomimi_mode,appearance,90,キャラ属性
contains,butt_plug,meta,80,成人小物
contains,ryona,meta,80,ジャンル
contains,crotch_rub,pose,90,動作
contains,spread_arm,pose,90,腕ポーズ
contains,tank_top,costume,90,衣装
contains,copyright_name,meta,85,メタタグ
contains,selfie,composition,85,撮影構図
contains,dog_girl,appearance,90,キャラ属性
contains,head_rest,pose,85,頬杖
contains,architecture,background,85,建築
contains,:q,emotion,85,顔文字
contains,corset,costume,90,衣装
contains,crotch_seam,costume,90,衣装
contains,finger_to_mouth,pose,90,手ポーズ
contains,stained_sheet,background,85,寝具
contains,elf,appearance,90,キャラ属性
contains,m4_carbine,meta,85,武器
contains,black_nail,appearance,90,爪装飾
contains,crotchless,costume,90,衣装
contains,drawstring,costume,90,衣装部品
contains,suspended_congress,pose,90,体位
contains,alley,background,85,場所
contains,criss-cross_halter,costume,90,衣装
contains,moaning,emotion,90,状態
contains,dated,meta,85,メタ情報
contains,eye_contact,pose,90,視線
contains,index_finger_raised,pose,90,手ポーズ
contains,magical_girl,appearance,90,キャラ属性
contains,areola_slip,appearance,90,身体露出
contains,clothes_in_mouth,pose,85,口動作
contains,id_card,costume,90,アクセサリ
contains,stone_floor,background,85,床
contains,nature,background,85,自然
contains,clitoris,appearance,90,身体部位
contains,uwabaki,costume,90,履物
contains,bright_pupil,appearance,90,瞳特徴
contains,monitor,background,85,電子機器
contains,clothes_writing,costume,90,衣装
contains,parasol,costume,90,小物
contains,public_use,meta,85,状況タグ
contains,shower_(place),background,85,場所
contains,:<,emotion,85,顔文字
contains,mirror,background,85,家具
contains,thick_eyebrow,appearance,90,眉特徴
contains,armband,costume,90,アクセサリ
contains,capelet,costume,90,衣装
contains,crowd,background,85,人物群
contains,foot_worship,pose,90,行為
contains,sash,costume,90,衣装
contains,cape,costume,90,衣装
contains,ceiling_light,background,85,照明
contains,hand_on_own_face,pose,90,手ポーズ
contains,reaching,pose,85,動作
contains,cross,background,85,シンボル
contains,otoko_no_ko,appearance,90,人物属性
contains,pink_pupil,appearance,90,瞳特徴
contains,epaulette,costume,90,衣装装飾
contains,pasties,costume,90,衣装
contains,realistic,composition,85,描画スタイル
contains,6+girl,meta,95,人数タグ
contains,arm_behind_head,pose,90,腕ポーズ
contains,hanging,pose,85,姿勢
contains,spoken_question_mark,composition,85,漫画演出
contains,car,background,85,乗り物
contains,fingernail,appearance,90,身体特徴
contains,camera,background,85,機器
contains,christmas,background,85,イベント
contains,goggle,costume,90,アクセサリ
contains,knees_to_chest,pose,90,脚ポーズ
contains,mating_press,pose,90,体位
contains,chinese_text,meta,85,文字
contains,sun,background,85,天体
contains,through_clothe,costume,90,衣装状態
contains,dakimakura,background,85,小物
contains,ice_cream,background,85,食べ物
contains,orgy,meta,80,ジャンル
contains,tan,appearance,90,身体特徴
contains,rabbit_girl,appearance,90,キャラ属性
contains,bench,background,85,家具
contains,gaping,appearance,85,身体状態
contains,stuffed_rabbit,background,85,小物
contains,lens_flare,composition,85,光表現
contains,platform_footwear,costume,90,履物
contains,5girl,meta,95,人数タグ
contains,bathing,pose,85,動作
contains,leaf,background,85,植物
contains,urinal,background,85,設備
contains,gakuran,costume,90,制服
contains,mind_control,meta,80,ジャンル
contains,butterfly,background,85,動物
contains,hibiscus,background,85,植物
contains,bulge,appearance,85,身体特徴
contains,talking,pose,85,動作
contains,candy,background,85,食べ物
contains,shower_head,background,85,設備
contains,blue_nail,appearance,90,爪装飾
contains,bug,background,80,昆虫
contains,hands_on_own_face,pose,90,手ポーズ
contains,mismatched_pupil,appearance,90,瞳特徴
