key,count,japanese
made_in_abyss,6,メイドインアビス
tsukihime,6,月姫
emblem,6,ファイアーエムブレム
jujutsu_kaisen,6,呪術廻戦
animal_crossing,6,あつまれ どうぶつの森
dq5,6,ドラゴンクエストV
swimsuit_rider,6,水着ライダー
clothing,6,衣装
nekopara,6,ネコぱら
dq3,6,ドラゴンクエストIII
aoki_hagane_no_arpeggio,6,蒼き鋼のアルペジオ
kirby,6,カービィ
chrono_trigger,6,クロノ・トリガー
precure,6,プリキュア
shape,5,形状
nier:automata,5,ニーア オートマタ
pc-98,5,PC-98
fruit,5,果物
planet,5,惑星
alice_in_wonderland,5,不思議の国のアリス
doki_doki_literature_club,5,ダキダキ文芸部
maidragon,5,小林さんちのメイドラゴン
dungeon_meshi,5,ダンジョン飯
madoka_magica,5,魔法少女まどか☆マギカ
armor,5,鎧
pattern,5,パターン
doa,5,デッドオアアライブ
band,5,バンド
dc,5,DC
hidamari_sketch,5,ひだまりスケッチ
monster_musume,5,モンスター娘のいる日常
persona_5,5,ペルソナ5
swimsuit_saber,5,水着セイバー
dq4,5,ドラゴンクエストIV
x-men,5,X-MEN
marvel,5,マーベル
street,5,街
4th_costume,5,4番目衣装
young,5,若い
show_by_rock!!,5,SHOW BY ROCK!!
loungewear,5,ルームウェア
dq11,5,ドラゴンクエストXI
sailor_moon,5,美少女戦士セーラームーン
housamo,5,ハウスオブザサンオー
cevio,5,CeVIO
mobile_suit,5,モビルスーツ
closers,5,クローザーズ
dungeon_and_fighter,5,ダンジョン&ファイター
sinoalice,5,シノアリス
neural_cloud,5,ニューラルクラウド
jashin-chan_dropkick,5,邪神ちゃんドロップキック
symbol,4,シンボル
creature,4,クリーチャー
medium,4,中サイズ
spy_x_family,4,SPY×FAMILY
track,4,トラック
lancer,4,ランサー
swimsuit_mooncancer,4,水着ムーンキャンサー
summer,4,夏
swimsuit_ruler,4,水着ルーラー
one-punch_man,4,ワンパンマン
undertale,4,アンダーテール
devil_may_cry,4,デビル メイ クライ
clothes,4,衣装
kamitsubaki_studio,4,神椿スタジオ
sonic,4,ソニック
the_amazing_digital_circus,4,アメイジング・デジタル・サーカス
berserk,4,ベルセルク
douki-chan,4,同期ちゃん
evangelion,4,エヴァンゲリオン
caster,4,キャスター
shirakami_fubuki,4,白上フブキ
hot_spring,4,温泉
phrase,4,フレーズ
goblin_slayer!,4,ゴブリンスレイヤー
old_design,4,旧デザイン
pso2,4,PSO2
princess_principal,4,プリンセス・プリンシパル
angel_beats!,4,Angel Beats!
dorohedoro,4,ドロヘドロ
houseki_no_kuni,4,宝石の国
lawson,4,ローソン
alien_stage,4,ALIEN STAGE
brand,4,ブランド
under_night_in-birth,4,アンダーナイト インヴァース
nikki,4,ニッキ
nu_carnival,4,ヌ・カーニバル
kimetsu_no_yaiba,4,鬼滅の刃
shashaki,4,シャシャキ
amaburi,4,アマブリ
vocaloid3,4,ボーカロイド3
kuzuyu,4,クズユ
fate/apocrypha,3,Fate/Apocrypha
rider,3,ライダー
machikado_mazoku,3,町内会転生
swimsuit_caster,3,水着キャスター
cheer_squad,3,チアスクワッド
jirai_kei,3,地雷系
shiromanta,3,白マンタ
third_ascension,3,第3段階
swimsuit_assassin,3,水着アサシン
toaru_majutsu_no_index,3,とある魔術の禁書目録
dragon's_crown,3,ドラゴンズクラウン
shoujo_shuumatsu_ryokou,3,少女終末旅行
container,3,コンテナ
ttgl,3,天元突破グレンラガン
black_lagoon,3,ブラック・ラグーン
baldur's_gate,3,バルダーズ・ゲート
visual_novel,3,ビジュアルノベル
retrofit,3,改造
hataraku_saibou,3,はたらく細胞
tekken,3,鉄拳
swimsuit_avenger,3,水着アヴェンジャー
ff10,3,ファイナルファンタジーX
nyaruko-san,3,這いよれ!ニャル子さん
ib,3,イヴ
mother_2,3,MOTHER2
2022,3,2022年
megami_tensei,3,女神転生
sword,3,剣
odin_sphere,3,オーディンスフィア
azumanga_daioh,3,あずまんが大王
ppg,3,パワーパフガールズ
touken_ranbu,3,刀剣乱舞
5th_costume,3,第5衣装
transformers,3,トランスフォーマー
live_action,3,実写
hazbin_hotel,3,ハズビン・ホテル
puyopuyo,3,ぷよぷよ
bang_dream!,3,バンドリ!
minecraft,3,マインクラフト
tokyo,3,東京
inuyasha,3,犬夜叉
shadowverse,3,シャドウバース
2019,3,2019年
niliu_chahui,3,ニリウ・チャフイ
tank,3,タンク
valorant,3,ヴァロラント
3rd_costume,3,第3衣装
yu_yu_hakusho,3,幽遊白書
unicorn_overlord,3,ユニコーンオーバーロード
suisei_no_gargantia,3,翠星のガルガンティア
utau,3,UTAU
love_live!,3,ラブライブ!
alchemy_stars,3,アルケミスターズ
takunomi,3,酒のつまみになる話
to_heart,3,To Heart
celestial_hymn,3,天体讃歌
battle_storm,3,戦闘嵐
zhu_xian,3,誅仙
shimmering_dew,3,きらめく露
lantern_rite,3,灯火祭
fate/extra,2,Fate/EXTRA
ruler,2,ルーラー
koha-ace,2,コハエース
usada_pekora,2,兎田ぺこら
not,2,ノット
fate/stay_night,2,Fate/stay night
headdress,2,ヘッドドレス
gemstone,2,宝石
gochiusa,2,ご注文はうさぎですか?
hardware,2,ハードウェア
darkstalkers,2,ヴァンパイアシリーズ
instrument,2,楽器
classic,2,クラシック
lancer_alter,2,ランサー・オルタ
sex,2,セックス
kill_la_kill,2,キルラキル
cyberpunk,2,サイバーパンク
remake,2,リメイク
needy_girl_overdose,2,ニーディー・ガール・オーバードーズ
small,2,小さい
dandadan,2,ダンダダン
ranma_1/2,2,らんま1/2
bird,2,鳥
computing,2,コンピューティング
jewelry,2,ジュエリー
fate/prototype,2,Fate/Prototype
streetwear,2,ストリートウェア
frozen,2,凍結
among_us,2,アマング・アス
memories_at_trifas,2,トリファスの思い出
swimsuit_pretender,2,水着プリテンダー
work,2,仕事
nier,2,ニーア
kino_no_tabi,2,キノの旅
smile_precure!,2,スマイルプリキュア!
samurai_spirits,2,サムライスピリッツ
organ,2,オルガン
majo_no_takkyuubin,2,魔女の宅急便
polar_chaldea_uniform,2,極地カルデア制服
persona_4,2,ペルソナ4
saber,2,セイバー
shingeki_no_kyojin,2,進撃の巨人
append,2,アペンド
gintama,2,銀魂
gothic_lolita,2,ゴシックロリータ
kusuriya_no_hitorigoto,2,薬屋のひとりごと
modern_warfare_2,2,モダン・ウォーフェア2
girls_band_cry,2,ガールズバンドクライ
sewayaki_kitsune_no_senko-san,2,世話焼き狐の仙狐さん
warioware,2,ワリオウェア
dipp,2,ディップ
gravity_daze,2,グラビティデイズ
tawawa,2,たわわ
no_game_no_life,2,ノーゲーム・ノーライフ
decisive_battle_chaldea_uniform,2,決戦カルデア制服
kuromiya,2,黒宮
black_rock_shooter,2,ブラック★ロックシューター
deltarune,2,デルタルーン
street_casual,2,ストリートカジュアル
arms,2,アームズ
m.m,2,M.M
first_ascension,2,初期段階
halloween_caster,2,ハロウィンキャスター
fate/zero,2,Fate/zero
eureka_seven,2,交響詩篇エウレカセブン
mon-musu_quest!,2,モンスター娘クエスト
vocaloid4,2,ボーカロイド4
future,2,未来
zombie_land_saga,2,ゾンビランドサガ
nurse,2,ナース
hades,2,ハデス
battleship,2,戦艦
mod3,2,MOD3
gundam,2,ガンダム
human,2,人間
rariatto,2,ラリアット
warcraft,2,ウォークラフト
metal_gear,2,メタルギア
shinrabanshou,2,真理眼
mythology,2,神話
idw,2,IDW
shiranui_flare,2,白銀フレア
lily,2,リリィ
shadows_house,2,シャドーハウス
comic,2,コミック
yes!_precure_5,2,Yes!プリキュア5
2016_swimsuit_mode,2,2016年水着モード
suite_precure,2,スイートプリキュア♪
fire_emblem_fates,2,ファイアーエムブレムif
kagerou_project,2,カゲロウプロジェクト
chihuri,2,チフリ
dirty_pair,2,ダーティペア
1st_series,2,第1シリーズ
heaven_burns_red,2,ヘブンバーンズレッド
sora_no_otoshimono,2,そらのおとしもの
kutan,2,クータン
selen_tatsuki,2,セレン・タツキ
blazblue,2,ブレイブルー
grandia,2,グランディア
ar_tonelico,2,アルトネリコ
surio,2,スーリオ
dirndl,2,ディアンドル
christmas,2,クリスマス
elf-san_wa_yaserarenai.,2,エルフさんは痩せられない。
soul_eater,2,ソウルイーター
ac8231,2,AC8231
2017,2,2017年
yukata_mode,2,浴衣モード
zero_no_tsukaima,2,ゼロの使い魔
gunvolt,2,ガンヴォルト
mechanical_buddy_universe,2,メカニカルバディユニバース
shin,2,シン
racehorse,2,競走馬
haibane,2,ハイバネ
halloween_mode,2,ハロウィンモード
tokyo_ghoul,2,東京喰種
assassin,2,アサシン
gundam_build_divers,2,ガンダムビルドダイバーズ
control,2,コントロール
2014,2,2014年
ice_climber,2,アイスクライマー
party_dress,2,パーティードレス
yakusoku_no_neverland,2,約束のネバーランド
kunio-kun,2,くにおくん
castlevania,2,キャッスルヴァニア
2021,2,2021年
tensei_shitara_slime_datta_ken,2,転生したらスライムだった件
playing_card,2,トランプ
tropical_summer,2,トロピカルサマー
star_wars,2,スター・ウォーズ
jintai,2,人体
dog,2,犬
aa_megami-sama,2,ああっ女神さまっ
bleach,2,ブリーチ
shadow_of_the_colossus,2,ワンダと巨像
mahoiku,2,魔法育成
2018,2,2018年
dance,2,ダンス
muse,2,ミューズ
dream_c_club,2,ドリームC倶楽部
kmnz,2,KMNZ
2013,2,2013年
qipao,2,チャイナドレス
7th_dragon,2,セブンスドラゴン
kunoichi_tsubaki_no_mune_no_uchi,2,くノ一椿の胸の内
summer_street,2,サマーストリート
summer_2021,2,2021年夏
movie,2,映画
santa,2,サンタ
banjo-kazooie,2,バンジョーとカズーイの大冒険
sygna_suit,2,シンオウスーツ
claymore,2,クレイモア
douluo_dalu,2,斗羅大陸
kage_no_jitsuryokusha_ni_naritakute!,2,陰の実力者になりたくて!
real,2,リアル
octopath_traveler,2,オクトパストラベラー
bankai,2,卍解
mage's_association_uniform,2,魔術協会制服
epic_seven,2,エピックセブン
cat,2,猫
diva,2,ディーヴァ
sky,1,空
mtf,1,MTF
ghost,1,幽霊
basic,1,基本
projectile,1,飛び道具
avenger,1,アヴェンジャー
ftm,1,FTM
substance,1,物質
texture,1,テクスチャ
theme,1,テーマ
place,1,場所
danmachi,1,ダンまち
preservation,1,保存
classic_anime,1,懐かしアニメ
relationship,1,関係性
hair,1,髪
maruyama,1,丸山
dangerous_beast,1,危険生物
cup,1,カップ
persona_3,1,ペルソナ3
miss_pink_elf,1,ミスピンクエルフ
sv,1,SV
herrscher_of_human:_ego,1,理の律者
nonsexual,1,非性的
season,1,季節
doll,1,人形
music,1,音楽
tokoyami_towa,1,常闇トワ
full,1,フル
bride,1,花嫁
sailor,1,セーラー
alter_swimsuit_rider,1,オルタースイムスーツライダー
fate/extra_ccc,1,Fate/EXTRA CCC
symphogear,1,シンフォギア
swimsuit_foreigner,1,水着フォーリナー
naga_u,1,ナガU
scorching-hot_training,1,灼熱修行
ver._shinjuku_1999,1,Ver.新宿1999
herrscher_of_sentience,1,知識の律者
machine,1,機械
statue,1,像
grimm,1,グリム
mega_man_zx,1,ロックマンZX
cardcaptor_sakura,1,カードキャプターさくら
silverwing:_n-ex,1,シルバーウイング:N-EX
majo_no_tabitabi,1,魔女の旅々
limbus_company,1,リンバスカンパニー
overlord,1,オーバーロード
utaite,1,歌い手
torotei,1,トロテイ
herrscher_of_thunder,1,雷電の律者
imbibitor_lunae,1,月淵浸潤者
mushoku_tensei,1,無職転生
sailor_paladin,1,セーラーパラディン
oversized_shirt,1,オーバーサイズシャツ
idolmaster_cinderella_girls_anime,1,アイドルマスター シンデレラガールズ
trick_or_treatment,1,トリック・オア・トリートメント
unfading_smile,1,褪せぬ笑顔
ff11,1,ファイナルファンタジーXI
hyouka,1,氷菓
herrscher_of_finality,1,終焉の律者
kari,1,狩り
opulent_splendor,1,豪華絢爛
city,1,都市
ado,1,Ado
kouri,1,香里
piercing_bunny,1,ピアシングバニー
gegege_no_kitarou_6,1,ゲゲゲの鬼太郎 第6期
enraptured_companion,1,魅了の相棒
kill_me_baby,1,キルミーベイベー
kantai_collection,1,艦隊これくしょん
listless_lapin,1,無気力ラパン
azure_horizons,1,蒼き地平線
springbloom_missive,1,春咲き便り
stunning_speedster,1,華麗なる高速走者
ff4,1,ファイナルファンタジーIV
dragon_quest,1,ドラゴンクエスト
tool,1,道具
luxurious_wheels,1,豪華な車輪
brave,1,勇敢
lyomsnpmp,1,リョムスンプンプ
herrscher_of_flamescion,1,炎の律者
bright,1,明るい
minato_aqua,1,湊あくあ
shoal_beat,1,浅瀬ビート
kabaneri,1,甲鉄城のカバネリ
poolside_coincidence,1,プール際の偶然
helmet,1,ヘルメット
darker_than_black,1,darker than BLACK
film,1,映画
machimazo,1,町内マゾ
swimsuit_of_perpetual_summer,1,常夏の水着
kid_icarus,1,光神話 パルテナの鏡
shishiro_botan,1,獅白ぼたん
pokemon_go,1,Pokémon GO
kabukimono,1,カブキモノ
maoyuu,1,魔王勇者
scorching-hot_seirios,1,灼熱セイリオス
run&win,1,ラン&ウィン
blue_archive_the_animation,1,ブルーアーカイブ The Animation
touhou_bougetsushou,1,東方紅月抄
saya_no_uta,1,サヤノウタ
danganronpa,1,ダンガンロンパ
sparkling_summer,1,きらめく夏
capcom,1,カプコン
hunt,1,狩猟
gyakushinn_miko,1,逆神巫女
kannagi,1,カンナギ
herrscher_of_the_void,1,空の律者
chess,1,チェス
z,1,Z
nige_jouzu_no_wakagimi,1,逃げ上手の若君
white_comet,1,白き彗星
robot,1,ロボット
glowstick,1,グロースティック
bombergirl,1,ボンバーガール
irys_2.0,1,IRyS 2.0
massive_melee,1,大規模格闘
nottytiffy,1,ノッティティフィ
summer_march,1,夏行進曲
hot_springs_relaxation,1,温泉くつろぎ
button-down,1,ボタンダウン
otokuyou,1,男用
bow,1,弓
signalis,1,シグナリス
raora_panthera,1,ラオラ・パンテラ
structure,1,構造物
irys_1.0,1,IRyS 1.0
summertime_sparkle,1,夏時間きらめき
maou_avenger,1,魔王アベンジャー
high_school_dxd,1,ハイスクールD×D
luna_kindred,1,ルナ・キンドレッド
yofukashi_no_uta,1,夜ふかしのうた
final_fight,1,ファイナルファイト
nekomata_okayu,1,猫又おかゆ
wataten,1,私に天使が舞い降りた!
olympian_bloomers,1,オリンピアンブルマ
fate/grand_order,1,Fate/Grand Order
stellar_blade,1,Stellar Blade
octopus,1,タコ
amor_caren,1,アモル・カレン
cycling,1,サイクリング
original,1,オリジナル
herrscher_of_rebirth,1,理の律者
summer_2020,1,2020年夏
summer_flowers,1,夏の花
shino_to_ren,1,篠とレン
mononoke_hime,1,もののけ姫
make_up_vampire!,1,メイクアップヴァンパイア!
stygian_nymph,1,スティギアンニンフ
alicesoft,1,アリスソフト
businesswoman,1,ビジネスウーマン
momosuzu_nene,1,桃鈴ねね
drag-on_dragoon,1,ドラッグ オン ドラグーン
archer,1,アーチャー
newsboy,1,新聞売り
smg,1,サブマシンガン
projektmelody,1,プロジェクトメロディ
royal_icing,1,ロイヤルアイシング
beach_rhapsody,1,ビーチラプソディ
twilight_blossom,1,トワイライトブロッサム
smtv,1,スマイルプリキュア!
kimono,1,着物
the_lady_of_the_beach,1,浜辺の貴婦人
nichijou,1,日常
shakugan_no_shana,1,灼眼のシャナ
mabinogi,1,マビノギ
goushinnso_memento,1,豪神装メメント
incoming_mail,1,受信メール
dragon_ball_super,1,ドラゴンボール超
shopping_with_the_head_maid,1,侍女長とのお買い物
guide,1,ガイド
eiyuu_densetsu,1,英雄伝説
breeze_of_sabaa,1,サバアの微風
niwarhythm,1,庭リズム
fresh_precure!,1,フレッシュプリキュア!
nt,1,NT
boss,1,ボス
brilliant_summer,1,ブリリアントサマー
yukihana_lamy,1,ユキハナ・ラミィ
blade_&_soul,1,Blade & Soul
akai_haato,1,赤井はあと
lunar_vow:_crimson_love,1,月の誓い:深紅の愛
senren,1,千恋*万花
lycoris_recoil,1,リコリス・リコイル
western,1,西部劇
dorei_to_no_seikatsu,1,奴隷との生活
kung_fu_cruiser,1,カンフークルーザー
xblaze,1,XBlaze
hy_plus,1,HY+
spring_casual,1,春カジュアル
black_dress,1,黒いドレス
geometry,1,幾何学
ookami,1,狼
aristocrat_kei,1,貴族系
mixed_breed,1,雑種
92m,1,92m
gesture,1,ジェスチャー
2099,1,2099
fever_night,1,フィーバーナイト
sea_breeze_dandelion,1,海風タンポポ
fubukitek,1,不破湖テック
run_revolt_launcher,1,ラン・リボルト・ランチャー
sleepwear,1,寝巻き
shiro_kuma_shake,1,白熊シェイク
exhilarating_steps!,1,爽快ステップ!
hellsing,1,ヘルシング
emerald_float,1,エメラルドフロート
sao-ggo,1,ソードアート・オンライン ガンゲイル・オンライン
herrscher_of_reason,1,知識の律者
lunatic_lab,1,ルナティックラボ
ff12,1,ファイナルファンタジーXII
second_ascension,1,第二段階
nun,1,修道女
matsuri's_day_off,1,松里の休日
seaweed,1,海苔
40hara,1,40原
lighting,1,照明
herrscher_of_truth,1,真理の使者
outgoing_mail,1,発送メール
unfamiliar_duties,1,不慣れな業務
swallowtail_phantasm,1,燕尾の幻想
shizuku,1,しずく
shining_spirit,1,輝く精霊
franchise,1,フランチャイズ
sundress,1,サンドレス
gold,1,金
bowl,1,ボウル
saburouta,1,サブロウタ
fuwamoco,1,ふわもこ
aria,1,アリア
temptation_on_the_sea_breeze,1,潮風の誘惑
game_mechanic,1,ゲームメカニクス
gibagiba,1,ギバギバ
sweet_time_after_school,1,放課後の甘い時間
the_road_to_el_dorado,1,エルドラドへの道
elira_pendora,1,エリラ・ペンドラ
hangry,1,ハングリー
seiken_densetsu_3,1,聖剣伝説3
saru_getchu,1,猿ゲッチュ
tsuchinoko,1,ツチノコ
herrscher_of_origin,1,根源の使者
1ssakawaguchi,1,1佐川口
halo,1,ハロー
the_infernal_temptress,1,地獄の誘惑者
umbrella_girl,1,傘の少女
fallen_angel,1,堕天使
houshou_marine,1,宝鐘マリン
trifle_vacation,1,些細な休暇
tansuke,1,タンスケ
naver,1,ネイバー
dokidoki!_precure,1,ドキドキ!プリキュア
omaru_polka,1,尾丸ポルカ
slime,1,スライム
sakura_miko,1,桜巫女
bubukka,1,ブブッカ
nakiri_ayame,1,鬼鮫綾目
seaside_tactician,1,海辺の戦術家
umbral_rose,1,影のバラ
toy,1,玩具
ripple_fairlady,1,波紋フェアレディ
mahou_shoujo_ni_akogarete,1,魔法少女に憧れて
finish_line_flagbearer,1,ゴール旗の担い手
earth,1,地球
yatterman,1,ヤッターマン
foreigner,1,異邦人
ortenaus,1,オルテナウス
water_princess,1,水の姫君
type-moon,1,TYPE-MOON
mother_3,1,MOTHER3
great_fox's_respite,1,グレートフォックスの休息
final_lap,1,最終ラップ
delirious_duel,1,熱狂の決闘
full_throttle_charmer,1,全力の魅力者
ms._motivationless_maid,1,無気力メイド
oshiro_project,1,お城プロジェクト
tezuka,1,手塚
long-awaited_date,1,待ちに待ったデート
after-school_ace,1,放課後のエース
death_note,1,デスノート
soulcalibur,1,ソウルキャリバー
howl_no_ugoku_shiro,1,ハウルの動く城
fkey,1,Fキー
camp,1,キャンプ
gawr_gura,1,ガウル・グラ
armed,1,武装
hollow_knight,1,ホロウナイト
tenchi_muyou!,1,天地無用!
otonari_no_tenshi-sama,1,お隣の天使様
brother,1,兄弟
tukikagerou,1,月影ろう
hiememiko,1,火炎巫女
summon_night,1,サモンナイト
seaside_daydreams,1,海辺の白日夢
tokino_sora,1,ときのそら
aqua_marine,1,アクアマリン
gundam_build_divers_re:rise,1,ガンダムビルドダイバーズRe:RISE
gegege_no_kitarou_5,1,ゲゲゲの鬼太郎5
tate_no_yuusha_no_nariagari,1,盾の勇者の成り上がり
nanatsu_no_taizai,1,七つの大罪
school_rumble,1,スクールランブル
fire_emblem_heroes,1,ファイアーエムブレムヒーローズ
hairstyle,1,髪型
normal,1,通常
utawarerumono,1,うたわれるもの
shiro_seijo_to_kuro_bokushi,1,白聖女と黒牧師
school_traumerei,1,学園トラウメライ
2016,1,2016年
table,1,テーブル
mawaru,1,回る
ff5,1,ファイナルファンタジーV
void_drifter,1,ボイドドリフター
kemomimi_oukoku_kokuei_housou,1,獣耳王国国営放送
site,1,サイト
girly,1,ガーリー
membership,1,メンバーシップ
virtual_pet,1,バーチャルペット
2011,1,2011年
midsummer_pixie,1,真夏のピクシー
true_sonic_form,1,真のソニック形態
casualrys,1,カジュアリーズ
phoenix's_spring_song,1,フェニックスの春の歌
taishi,1,大使
titanfall_2,1,タイタンフォール2
scarlet_nuit_etoile,1,スカーレット・ニュイ・エトワール
yashiro_sousaku,1,八代創作
wonderland,1,ワンダーランド
fuji_speedway_race_queen_mode,1,富士スピードウェイレースクイーンモード
michihasu,1,ミチハス
tenki_no_ko,1,天気の子
my_little_pony,1,マイリトルポニー
unkind_maid,1,不親切なメイド
kindergarten_uniform,1,幼稚園制服
vividred_operation,1,ビビッドレッド・オペレーション
honzuki_no_gekokujou,1,本好きの下剋上
netflix,1,Netflix
haxxor_bunny,1,ハッカーバニー
moon,1,月
personal_ami,1,個人的なアミ
guard,1,ガード
the_adjudicatrix_and_her_resolve,1,判定者と彼女の決意
stirring_mermaid,1,かき混ぜるマーメイド
competitive,1,競争的
kiman,1,キマン
board_game,1,ボードゲーム
tail,1,尾
prisoner,1,囚人
urara_meirochou,1,うらら迷路帖
starry_cocoon,1,星のコクーン
kaedeko,1,カエデコ
summer_accident?!,1,夏の事故?!
peachy_spring,1,ピーチスプリング
blasting_off_summer_night,1,吹き飛ぶ夏の夜
chrono_cross,1,クロノ・クロス
helluva_boss,1,ヘルヴァ・ボス
kantoku,1,監督
seaside_coincidence,1,海辺の偶然
baffu,1,バッフ
flip_flappers,1,フリップフラッパーズ
yua,1,ユア
princess_tutu,1,プリンセスチュチュ
senpai_killer_outfit,1,先輩キラー衣装
jk,1,JK
vermillion_knight,1,バーミリオンナイト
festival_outfit,1,祭り衣装
puniru_wa_kawaii_slime,1,プニルはかわいいスライム
element,1,エレメント
bear,1,熊
lvi,1,LVI
karaage_bou,1,唐揚げ棒
swimsuit_of_perpetual_summer_ver.02,1,常夏水着Ver.02
moto,1,モト
sen_to_chihiro_no_kamikakushi,1,千と千尋の神隠し
pacific_rim,1,パシフィック・リム
snk,1,進撃の巨人
jigokuraku,1,地獄楽
monster_hunter_wilds,1,モンスターハンター ワイルズ
standby_mode,1,スタンバイモード
summer_miss_elf,1,サマーミスエルフ
entity,1,エンティティ
scabbard,1,鞘
ponyo,1,ポニョ
shout_in_crisis,1,危機の叫び
christmas_mode,1,クリスマスモード
furi_furi_bunny_dress,1,ふりふりバニードレス
emerald_on_the_waves,1,波上のエメラルド
bad,1,悪
saikin_yatotta_maid_ga_ayashii,1,最近雇ったメイドが怪しい
breath_of_fire_ii,1,ブレス オブ ファイア II
log_horizon,1,ログ・ホライズン
dragon_ball_z,1,ドラゴンボールZ
star_ocean,1,スターオーシャン
twinkling_bunny,1,きらめくバニー
jade_knight,1,ジェイドナイト
nejikirio,1,ねじきりお
monsterverse,1,モンスターバース
black_clover,1,ブラッククローバー
symphony_regalia,1,シンフォニーレガリア
osiimi,1,おしいみ
tsugumomo,1,つぐもも
natsuiro_matsuri,1,夏色祭り
kuzuha,1,クズハ
re:creators,1,Re:CREATORS
dq7,1,ドラゴンクエストVII
top_wo_nerae_2!,1,トップをねらえ2!
axe,1,斧
fire_emblem_gaiden,1,ファイアーエムブレム外伝
department_store,1,デパート
pose,1,ポーズ
imagesdawn,1,イメージズドーン
old,1,古い
morning_star_of_love_and_hope,1,愛と希望の明けの明星
splatoon_3,1,スプラトゥーン3
dororo,1,どろろ
platform,1,プラットフォーム
nes,1,ファミコン
punk_rock,1,パンクロック
black_shadow,1,ブラックシャドウ
sororal_wings,1,姉妹の翼
maiden_lily's_radiance,1,乙女ユリの輝き
himouto!_umaru-chan,1,干物妹!うまるちゃん
medical_rabbit,1,医療ウサギ
timeless_classics,1,タイムレスクラシック
fallen_rosemary,1,堕ちたローズマリー
stacia,1,スタシア
mob_psycho_100,1,モブサイコ100
metaphor:_refantazio,1,メタファー:リファンタジオ
nintendo,1,任天堂
the_conquered_unhulde,1,征服されたアンフルデ
torriet,1,トリエット
kankin_jk,1,監禁JK
waitress,1,ウェイトレス
