tag,category,count,genre,ja,memo
blonde_hair,0,1199644,,金髪,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ツインテール,ブロンド"
hair_ornament,0,1190764,,髪飾り,发饰
black_hair,0,1188777,,黒髪,"黒髪ロング,黒髪ショート,黒髪ボブ,黑发,흑발,黒髪赤眼,黑髮赤眼,黑发赤眼,흑발적안,黑髮紅眼,黑发红眼"
brown_hair,0,1147531,,茶髪,"茶髪,갈색머리"
multiple_girls,0,1116912,,群像,多女性
gloves,0,1105296,,手袋,"手袋コキ,裸手袋,てぶくろ,장갑,手套"
navel,0,1067528,,へそ,"臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ,肚脐,배꼽"
dress,0,1052374,,ドレス,"ワンピース服,ワンピ,连衣裙,드레스"
red_eyes,0,1047308,,赤い目,"赤目,赤眼,붉은눈,빨간눈,銀髪赤眼,銀髮赤眼,银发赤眼,은발적안,白髮紅眼,白发红眼,黒髪赤眼,黑髮赤眼,黑发赤眼,흑발적안,黑髮紅眼,黑发红眼"
animal_ears,0,1010004,,けもみみ,"獣娘,獣耳,ケモミミ,けものみみ,ケモ耳,獸耳,兽耳"
thighhighs,0,985368,,ニーソックス,"ニーソ,ニーハイソックス,ニーハイ,サイハイソックス,过膝袜,长筒袜,大腿袜"
closed_mouth,0,979176,,閉じた口,閉口
bow,0,952699,,蝶結び,"蝶々結び,蝴蝶结"
cleavage,0,929898,,胸の谷間,"魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,乳沟,가슴골,谷間,cleavage"
hat,0,898595,,帽子,裸帽子
bare_shoulders,0,892521,,肩出し,"ベアトップ,露肩装,露肩"
original,3,891679,,オリジナル,"創作,原創,原创,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,창작,oc,创作,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,Оригинальный,Original,original_character,ออริจินอล,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,오리지널,オリキャラ愛の会,ウチの子,自キャラクター,indie_anime,うちのこ,originalcharacter,オリギナル,自创,自創,おりじなる,original,OC,創作男子,my_oc,創作百合,自家孩子,original_art,創作キャラ,創作イラスト,originaldesign,原创插画,オリケモ,oc_artwork,oc_art,ocartwork,ocart,oc_tag,ocs,my_ocs"
1boy,0,887987,,男の子,"男,少年,男の娘,長髪男子,男子,boy,animeboy"
jewelry,0,864539,,ジュエリー,"宝飾品,アクセサリー,珠宝首饰,珠宝"
ribbon,0,864066,,リボン,"리본,丝带,絲帶,缎带,紐タイ"
very_long_hair,0,836973,,超ロングヘア,超长发
medium_breasts,0,803763,,普通乳,普乳
sitting,0,789325,,座る,"座り,椅子尻"
standing,0,752769,,立つ,立ち絵
jacket,0,729208,,ジャケット,"上着,夹克"
nipples,0,726995,,乳首,"nipples,nipple"
twintails,0,721356,,ツインテール,"双马尾,雙馬尾,트윈테일,二つ結い,いいツインテールの日,ツインテ,金髪ツインテール,2つくくり"
collarbone,0,720127,,鎖骨,"빗장뼈,锁骨"
white_shirt,0,715876,,白いシャツ,
underwear,0,706551,,下着,"肌着,下着艦娘,白下着,胖次"
purple_eyes,0,685847,,紫目,紫眼
tail,0,678547,,しっぽ,"尻尾,もふりたい尻尾,尾巴"
blue_hair,0,676176,,青い髪,"青髪,水色髪"
brown_eyes,0,663616,,茶目,
green_eyes,0,660136,,翠眼,"緑眼,緑目"
touhou,3,651387,,東方プロジェクト,"東方,東方project,东方,东方project,東方妖時計,동방,東方MMD,東方うごイラ,東方グラマラス,東方ショタ化,東方好きな人RT,東方版もうひとつの深夜の真剣お絵描き60分一本勝負,東方黄金水,東方緊縛画,東方モータリゼーション,東方対魔忍"
full_body,0,642669,,全身,"全身絵,全景镜头"
multicolored_hair,0,603947,,多色髪,
swimsuit,0,603931,,水着,"エロ水着,水着艦娘,泳装,수영복,泳衣,水著,剥ぎ取りたい水着"
upper_body,0,590960,,上半身,中近景镜头
white_hair,0,588991,,白髪,
panties,0,581788,,パンティー,"パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ"
grey_hair,0,574323,,銀髪,"白髪,銀髪"
pink_hair,0,573399,,ピンク髪,"ピンク髪ロング,ピンクは淫乱"
yellow_eyes,0,572334,,黄色眼,"黄色目,黄眼,金眼,金目"
school_uniform,0,566348,,学生服,"せいふく,女子高生,JK,DK,学校制服,制服裸足,校服"
sidelocks,0,545271,,もみあげ,"横髪,サイドヘア,边落,耳前侧发,鬓发"
ahoge,0,541349,,アホ毛,呆毛
ass,0,534129,,お尻,"尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻,原尻"
thighs,0,532440,,太もも,"ふともも,魅惑のふともも,魅惑の太もも,ふとももの罠,腿,極上のふともも,極上の太もも,撫で回したい太腿,大腿"
purple_hair,0,523624,,紫髪,
braid,0,520847,,三つ編み,"みつあみ,麻花辫,辫,辫子"
closed_eyes,0,498160,,瞑目,闭眼
short_sleeves,0,494991,,半袖,
heart,0,490146,,ハート,"♥,ハート形,爱心,红桃,<3"
flower,0,480748,,はな,"花,フラワー,꽃,以花咏画,花と女の子"
ponytail,0,480649,,ポニーテール,"ポニテ,黒髪ポニーテール,马尾,포니테일"
hetero,0,469229,,男女カプ,"NL,イナゴ男女カプ,ヘテロ,男の娘×女の子,異性愛"
pantyhose,0,467351,,タイツ,"黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜"
bikini,0,464629,,ビキニ,"ビキニ水着,エロビキニ,剥ぎ取りたいビキニ,比基尼,豹柄ビキニ"
small_breasts,0,464376,,貧乳,"ちっぱい,微乳,極上の貧乳,ペチャパイ,small_boobs,smallboobs,small_breasts,smallbreasts"
earrings,0,458252,,イヤリング,"耳飾り,耳飾"
sweat,0,453578,,汗だく,汗
outdoors,0,447763,,野外,"青姦,野外緊縛,室外,户外"
weapon,0,442296,,武器,兵器
nude,0,434082,,裸,"生まれたままの姿(産まれたままの姿)全裸(ヌード),ヌード,裸ニーソ,裸手袋,裸体,裸靴下,袖だけ霊夢,袖だけ,全裸群像,裸ランドセル,すっぽんぽん,裸帽子,裸立ち絵"
pleated_skirt,0,423601,,プリーツスカート,百褶裙
frills,0,423188,,フリル,花边
red_hair,0,413261,,赤髪,"紅髪,红发,빨강머리,빨간머리"
open_clothes,0,406119,,はだけ,
hairband,0,396719,,カチューシャ,"ヘアバンド,ヘッドドレス,猫耳カチューシャ,头箍,发箍"
kantai_collection,3,394308,,艦これ,"艦隊これくしょん,艦コレ,艦娘,舰队Collection,艦Colle,艦隊Collection,艦隊收藏,kantaicollection,함대_컬렉션,칸코레,私服艦娘,下着艦娘,水着艦娘,艦これ集合絵,シンスイカッコカリ,艦ショタ,艦これ版深夜の真剣お絵描き60分一本勝負,艦これ版真剣お絵描き60分一本勝負,北斗の艦,ア艦これ"
lying,0,394069,,寝そべり,"寝そべる,横臥,横になる,寝転がる,うつぶせ,うつ伏せ"
horns,0,393426,,角,"角っ子,角娘,有角人,角っ娘"
black_gloves,0,386670,,黒手袋,
alternate_costume,0,383478,,衣装チェンジ,私服艦娘
shorts,0,367026,,半ズボン,"短パン,ショートパンツ"
sleeveless,0,363320,,ノースリーブ,アメリカンスリーブ
choker,0,360630,,チョーカー,"颈圈,ちょーかー"
virtual_youtuber,0,360061,,バーチャルユーチューバー,"バーチャルYouTuber,Vtuber,Vチューバー,バーチャルシンガー,バーチャルSinger,バーチャルライバー,VLiver,Vライバー,バーチャルストリーマー,VStreamer,虚拟主播,虛擬主播,虚拟YouTuber,虛擬YouTuber,虚拟UP主,虛擬UP主,VUP,香港vtuber,hkvtuber,台灣vtuber,버츄얼유튜버,버츄얼YouTuber,버튜버,버츄버,버츄얼,KRVTuber,KR_VTuber,Vtuber準備中,新人Vtuber,新人Vチューバー,Vtuberはじめました,おはようVtuber,vtb,VTuver,新人Vtuver,VirtualYouTuber,ENVtuber,VtuberID,PHVtuber,VtuberES,VTuberFR,VTubers,vtuberfanart,vtuberart,vtuber_fanart,vSinger,virtualsinger,virtual_singer,pngtuber"
penis,0,356232,,ペニス,"陰茎,陰莖,阴茎,男根,男性器,肉棒,魔羅,チンコ,ちんこ,おちんちん,黒チンポ,페니스,음경,남근,남성기,자지,좆,雞巴,鸡巴,dick,(∪)"
detached_sleeves,0,351688,,腕カバー,袖だけ
boots,0,350847,,ブーツ,"長靴,裸ブーツ"
sky,0,350533,,空,天空
wings,0,341732,,翼,"ウィング,羽,翅,翅膀,有翼,有翼人"
one_eye_closed,0,339935,,ウィンク,ウィンクX東方
pointy_ears,0,334900,,エルフ耳,"尖耳朵,とんがり耳"
shoes,0,327693,,靴,"くつ,鞋子,신발"
food,0,324823,,食べ物,"食品,食物"
pussy,0,324777,,おまんこ,"女性器,pussy,屄,グロマン,膣,女性生殖器,女阴,まんこ"
necktie,0,322632,,ネクタイ,领带
indoors,0,322574,,屋内,"部屋,室内,屋内"
barefoot,0,322560,,裸足,"素足,裸足裏,制服裸足,裸足男子"
tongue,0,320198,,舌,
medium_hair,0,318181,,セミロング,ミディアムヘアー
black_thighhighs,0,316516,,黒ニーソックス,"黒ニーソ,黒ニーハイ,黒ストッキング,黑丝"
green_hair,0,311713,,緑髪,
official_alternate_costume,0,309695,,セカコス,
monochrome,0,307283,,モノクロ,"モノクロ画,单色调"
socks,0,307276,,ソックス,"靴下,生靴下,裸靴下"
japanese_clothes,0,286888,,和服,
day,0,285985,,昼間,"ひる,daytime,昼"
pants,0,285685,,ズボン,パンツルック
hairclip,0,282746,,髪留め,
male_focus,0,280627,,男性メイン,"少年,男性,男子"
fate_(series),3,274983,series,Fateシリーズ,Fate
halo,0,272639,,天使の輪,"天使の輪っか,光环,ヘイロー,へいろー"
fang,0,267648,,八重歯,"虎牙,犬齿"
belt,0,267317,,ベルト,腰带
blue_archive,3,267247,,ブルアカ,"ブルーアーカイブ,ブルアカイラスト部,ブルーアーカイブイラコン,블루아카이브,블루아카,BlueArchive,蔚藍檔案,碧蓝档案,碧藍檔案,BA,ジョジョアーカイブ,蔚蓝档案"
elbow_gloves,0,261614,,ロンググローブ,"長手袋,长手套,白長手袋,肘手套"
stomach,0,259949,,お腹,"下腹,おなか,いいおなかの日"
midriff,0,257401,,へそ出し,"へそだし,ヘソ出し,腹チラ,腹部,肚子"
glasses,0,256895,,眼鏡っ娘,"眼鏡,メガネ,めがね,眼镜,伊達眼鏡,안경,eyeglasses,spectacles,glasses"
white_gloves,0,256496,,白手袋,"白手套,白長手袋"
bowtie,0,254481,,蝶ネクタイ,"ボウタイ,領結,领结"
blunt_bangs,0,244931,,ぱっつん,"パッツン,前髪ぱっつん,齐刘海"
tongue_out,0,243263,,舌出し,
signature,0,239444,,サイン,"サイン入り,签名"
looking_back,0,239149,,見返り,"振り返り,振り向き,振り向く,見返り美人,回眸,回头看"
white_dress,0,238271,,白ワンピ,白ワンピース
sex,0,235573,,セックス,"SEX,性交,性行為,キスハメ,中出し,挿入,トイレセックス"
hair_flower,0,235005,,頭に花,花飾り
comic,0,234453,,マンガ,"漫画,漫畫,만화,漫畵"
greyscale,0,233937,,白黒,
cat_ears,0,233227,,ネコミミ,"猫耳,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ"
dark_skin,0,233070,,褐色,"褐色肌,色黒"
cloud,0,232981,,くも,雲
serafuku,0,231466,,セーラー服,水手服
on_back,0,229507,,仰向け,仰臥
spread_legs,0,227950,,開脚,"開脚,M字開脚,V字開脚,张开双腿"
miniskirt,0,227678,,ミニスカ,"ミニスカート,ミニスカ巫女,미니스커트,迷你裙,超短裙,ミニスカポリス"
armpits,0,226109,,腋,"腋,脇,腋巫女,脇の下,腋下"
off_shoulder,0,225622,,オフショルダー,
streaked_hair,0,224966,,メッシュ,挑染
hololive,3,224621,,ホロライブ,"ホロライブプロダクション,ホロライブゲーマーズ,ホロライブファンタジー,ホログラ,hololive,hololewd"
mole,0,222127,,ほくろ,"ホクロ,痣"
hood,0,218298,,フード,"頭巾,후드,帽兜"
nail_polish,0,217408,,マニキュア,"マニキュア液,指甲油,매니큐어"
sailor_collar,0,216752,,セーラー襟,"セーラーカラー,セーラー水着,水手领"
black_dress,0,216567,,黒ワンピ,
fate/grand_order,3,216333,,Fate/GrandOrder,"FGO,FateGO,FateGrandOrder,Fate/GrandOrder,Fate/Grand_Order,Cosmos_in_the_Lostbelt,FGO夢,Fate/GO"
cum,0,213290,,精液,정액
fingerless_gloves,0,209069,,指抜きグローブ,无指手套
two-tone_hair,0,206757,,ツートン,"ツートーン,二色髪"
genshin_impact,3,206690,,原神,"原神project,원신,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt"
hair_over_one_eye,0,206534,,片目隠れ,片目隠し
hair_bun,0,204024,,お団子,"丸子头,发髻,お団子ヘアー,おだんご"
blurry,0,202615,,ぼかし,"ぼやけた,模糊"
from_behind,0,201113,,後ろ姿,
speech_bubble,0,200528,,ふきだし,"말풍선,對話框"
sword,0,199350,,剣,"剣,大刀,刀剣,大剣,女剣士,劍,miekka,espada,pedang,Schwert,miecz,меч,svärd,swaard"
rabbit_ears,0,198998,,うさぎ耳,"ウサギ耳,うさみみ,うさ耳,兎耳,ウサミミ,ウサ耳"
leotard,0,197356,,レオタード,
white_thighhighs,0,197211,,白ニーソックス,"白ニーソ,白ニーハイ,白ストッキング,白スト,白丝袜"
necklace,0,195974,,ネックレス,
idolmaster,3,193268,,アイドルマスター,"idolm@ster,theidolm@ster,im@s,アイマス,アイドルマスタ"
clothes_lift,0,191932,,たくし上げ,
yuri,0,191126,,ユリ,"百合,レズ,社会人百合,レズレイプ,創作百合,オリジナル百合,sapphic,にょたゆり,ウマ娘百合ティーダービー,pkmn百合,백합,lesbian,wlw"
huge_breasts,0,191099,,爆乳,"폭유,爆乳化,hugeboobs,hugebreasts"
bra,0,189330,,ブラジャー,"ブラ,デカブラ,브래지어,브라,胸罩"
grin,0,186918,,ニヤリ,露齿笑
feet,0,185722,,足,
water,0,185652,,水,물
orange_hair,0,184646,,オレンジ髪,
black_pantyhose,0,184210,,黒スト,"黒ストッキング,黑丝,黒タイツ"
from_side,0,183476,,横から,よこがおフレンズ
english_text,0,182490,,英語,
kimono,0,181963,,着物,"和服,👘"
pokemon,3,181506,,ポケモン,"ポケモン擬人化,ポケモン人間絵,pkmn腐,ポケ擬,Pokemon,포켓몬,포켓몬스터,ポケモントレーナー版深夜の真剣お絵描き60分一本勝負,ポケモン×人間,ポケットモンスター,ポケモントレーナー,pocketmonsters,精灵宝可梦,ポケモン機械化,ポケモンイラスト,Pokémon,宝可梦,pkg版深夜の真剣お絵描き60分一本勝負,pokemonfanart,pkmn,ポケモンFA,星座タロット風ポケモン,ポケモンと生活,宝可梦图鉴,アニポケ,pkmn夢,pkmn百合"
star_(symbol),0,179335,symbol,星形,"星型,星,星星"
high_heels,0,177977,,ハイヒール,"高跟,高跟鞋"
vaginal,0,177417,,膣挿入,阴道性行为
crop_top,0,175849,,ハーフトップ,"露腹短上衣,短款上衣"
bag,0,175196,,かばん,"鞄,カバン"
tears,0,175161,,涙,
white_panties,0,173369,,白パンツ,"白パン,白いパンツ"
completely_nude,0,172247,,全裸,"すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸"
sweatdrop,0,170957,,汗マーク,汗滴
coat,0,169134,,コート,外套
blue_sky,0,168972,,青い空,"青空,蒼空,蒼天,蒼穹,碧空,蓝天"
apron,0,167060,,エプロン,"えぷろん,围裙"
black_shirt,0,166731,,黒シャツ,
arms_up,0,166635,,腕を上げる,
collar,0,165642,,首輪,项圈
sweater,0,163612,,セーター,"스웨터,毛衣,トレーナー,スウェット,スウェットシャツ,スエットシャツ"
dark-skinned_female,0,160161,,褐色娘,黒ギャル
bracelet,0,159920,,ブレスレット,"腕輪,手镯"
black_eyes,0,157726,,黒目,
parted_bangs,0,155933,,センター分け,"真ん中分け,中分刘海"
:o,0,154975,,Oの字口,
flat_chest,0,154861,,貧乳,"ぺったんこ,大平原の小さな胸,無乳,ナイチチ,平らな胸,ツルペタ,つるぺた,平胸,まな板,flat-chested"
fingernails,0,153971,,爪,"손톱,指甲"
vest,0,153408,,ベスト,背心
symbol-shaped_pupils,0,152490,,柄目,
blue_skirt,0,150107,,青いスカート,
cape,0,148991,,ケープ,"披风,披風"
armor,0,148539,,鎧,甲冑
grey_eyes,0,148306,,灰色の瞳,
strapless,0,146449,,ベアトップ,
cup,0,145652,,コップ,"カップ,杯子"
toes,0,144992,,足の指,足指
chibi,0,144279,,ちびキャラ,"ちび,デフォルメ,SD,SDイラスト,Q版,Q版造型,ちびきゃら,ミニキャラ,デフォルメエロ,SDキャラ,TDM,チビケモ"
two_side_up,0,144124,,ツーサイドアップ,
covered_nipples,0,143905,,胸ポチ,"勃起乳首,透け乳首,浮き乳首"
scarf,0,143555,,マフラー,"🧣,围巾,围脖"
orange_eyes,0,143030,,オレンジの目,おれんじめ
side_ponytail,0,142178,,サイドテール,侧马尾
dated,0,141426,,日付,
multiple_views,0,140215,,三面図,"3面図,multiple_angles"
groin,0,140192,,またすじ,"鼠蹊部,恥丘,鼠径部"
see-through_clothes,0,139710,,透け,"透け透け,スケスケ,すけすけ,シースルー,濡れ透け,透けブラ,スケブラ,透けスカート"
eyelashes,0,138439,,まつげ,睫毛
neckerchief,0,138274,,ネッカチーフ,
thigh_strap,0,138222,,サイバンド,"大腿上的带子,腿带"
fake_animal_ears,0,138154,,付け耳,つけ耳
legs,0,137913,,足,美脚
arknights,3,137838,,アークナイツ,"明日方舟,명일방주,Arknights,ArknightsFanArt,アークナイツバトルイラコン"
loli,0,137813,,ロリ,"ロリビッチ,ロリ妊婦,ペド,ロリフ,合法ロリ,おねロリ,萝莉,LOLI,lolicon,蘿莉,로리,ロリコン,ロリショタ,ケモロリ,ロリ陰毛,メスガキ,褐色ロリ,おにロリ,ロリ巨根,ロリサキュバス,幼女,mesugaki"
mole_under_eye,0,137229,,泣きぼくろ,"泣きボクロ,泣き黒子,눈물점,泪痣"
sleeves_past_wrists,0,135797,,萌え袖,萌袖
fox_ears,0,134061,,きつね耳,"狐耳,キツネ耳,きつねみみ"
wet,0,134014,,濡れ,"濡れる,びしょ濡れ,びしょびしょ"
cat_tail,0,133465,,ねこしっぽ,"猫しっぽ,猫尻尾"
sleeveless_dress,0,131626,,ノースリーブワンピース,
covered_navel,0,130621,,布越しのへそ,
black_panties,0,130442,,黒パン,黒パンツ
short_shorts,0,130056,,ショートパンツ,"ホットパンツ,超短パン,短パン,热裤"
pillow,0,128021,,まくら,"枕,枕头,マクラ"
v,0,127871,,ピース,"ピースサイン,Vサイン,ブイサイン,ハメピス,フェラピス"
hand_on_own_hip,0,127810,,腰に手,单手叉腰
tree,0,126602,,木,"木,樹,樹木,木本,き"
detached_collar,0,126016,,付け襟,
bare_legs,0,125852,,生足,
maid_headdress,0,124459,,ホワイトブリム,女仆头饰
one-piece_swimsuit,0,121989,,ワンピース水着,
maid,0,121616,,メイド,"メイドさん,メイド少年,女仆,메이드,メイド服,妹抖"
azur_lane,3,120985,,アズールレーン,"碧蓝航线,碧藍航線,AzurLane,舰B,艦B,アズレン,벽람항로,アズールレーン陣営,アズールレーン版深夜の真剣お絵かき60分一本勝負,パイズールレーン,KAN-SEN,アズレン漫画"
pubic_hair,0,120919,,陰毛,"陰毛,阴毛,음모,ロリ陰毛,パイパン差分希望,ヘアヌード,アンダーヘア"
torn_clothes,0,120831,,服ビリ,尻破れ
head_tilt,0,120435,,首傾げ,歪头
blurry_background,0,119855,,ぼかした背景,
gradient_hair,0,118910,,グラデ髪,"グラデヘアー,渐变色头发"
pov,0,116832,,主観視点,"POV,主観視点,一人称視点,自分視点,第一人称视角"
gun,0,113891,,銃,
lips,0,113608,,唇,
uncensored,0,113257,,無修正,uncensored
skindentation,0,112638,,ももぷく,
sash,0,112615,,サッシュ,"현장,飾帶,饰带,条带"
horse_ears,0,111107,,馬耳,
black_bikini,0,111089,,黒ビキニ,たくし上げ黒ビキニ
sideboob,0,111085,,よこちち,"横乳,옆가슴"
tattoo,0,110753,,タトゥー,刺青
neck_ribbon,0,110708,,リボンタイ,"りぼんたい,ネックリボン,ねっくりぼん,紐タイ"
highleg,0,110634,,ハイレグ,
cosplay,0,110477,,コスプレ,
window,0,109425,,窓,"窓辺,窗户"
umamusume,3,109315,,ウマ娘,"ウマ娘プリティーダービー,赛马娘,賽馬娘,马娘,馬娘,우마무스메,말딸,Umamusume,フォロワーさんからイメージもらって自分をウマ娘化する,ウマ娘ガンダムダービー,北斗の拳ニンジン味,ウマ娘モータリゼーション,闪耀优俊少女,闪耀!优俊少女,优骏少女,グラップラー馬姫,ウマ娘百合ティーダービー"
horse_girl,0,109146,,ウマ娘,馬娘
buttons,0,108883,,釦,"鈕扣,纽扣,扣子,단추,鈕"
hair_intakes,0,108765,,インテーク,"进气口发型,排气孔"
ascot,0,108241,,アスコットタイ,多褶领巾
sparkle,0,106790,,キラキラ,"kirakiradeshita,闪闪发光"
zettai_ryouiki,0,105127,,絶対領域,"絕對領域,绝对领域,절대영역"
leaning_forward,0,104890,,前屈み,前かがみ
anus,0,104086,,肛門,"尻の穴,縦割れアナル,尻穴"
vocaloid,3,103884,,ボーカロイド,"ボカロ,VOCALOID,博歌樂,术力口,術力口"
on_bed,0,103820,,ベッドの上,
double_bun,0,103538,,お団子頭,お団子
idolmaster_cinderella_girls,3,103442,,アイドルマスターシンデレラガールズ,"シンデレラガールズ,デレマス,モバマス,imas_cg"
kneehighs,0,102923,,ハイソックス,"ハイソ,黒ハイソックス,黒ハイソ,黒ハイ,白ハイソックス,白ハイソ,白ハイ,紺ハイソックス,紺ハイソ,紺ハイ"
bell,0,102297,,ベル,
dutch_angle,0,101258,,ダッチアングル,倾斜角度
book,0,101012,,本,
petals,0,100326,,花びら,"花吹雪,桜吹雪,花瓣"
blue_dress,0,100100,,青ドレス,"青いワンピース,青いワンピ"
kneeling,0,99773,,跪く,"膝立ち,跪,跪着,下跪"
saliva,0,99638,,涎,"唾液,口水"
playboy_bunny,0,99232,,バニーガール,"バニースーツ,バニー,兔女郎,바니걸,メカバニー,bunnysuit"
dress_shirt,0,99213,,Yシャツ,"ワイシャツ,裸Yシャツ,正装衬衫,西装衬衫,衬衫"
pussy_juice,0,99176,,マン汁,"爱液,愛液"
soles,0,98983,,足の裏,"足裏,裸足裏,足の裏"
colored_skin,0,97509,,異色肌,
hoodie,0,97220,,パーカー,连帽衫
red_skirt,0,97171,,赤いスカート,
bodysuit,0,97070,,ボディスーツ,"ぴっちりスーツ,ボディースーツ,艦ラバー,ラバースーツ,全身タイツ,ピッチリスーツ,连体紧身衣,紧身衣"
nose_blush,0,96766,,赤面,
makeup,0,96564,,メイク,"化粧,化妆"
halterneck,0,96512,,ホルターネック,"ホルタートップ,ホルタービキニ,颈挂式"
white_socks,0,95943,,白ソックス,"白ハイソックス,白ハイソ,白靴下"
honkai_(series),3,95473,series,崩壊シリーズ,"崩坏,崩壊,逆熵,崩壞,붕괴"
shadow,0,94294,,影,影子
low_twintails,0,93940,,おさげ,"二つ結び,下双马尾,低双马尾,로우테일"
mask,0,93241,,マスク,"仮面,覆面,衛生マスク,サージカルマスク,防塵マスク,ガスマスク,面具,カラスマスク"
white_bikini,0,92545,,白ビキニ,
capelet,0,92466,,ケープレット,
heterochromia,0,92155,,オッドアイ,"ヘテロクロミア,异瞳,虹彩異色症,异色瞳,虹膜异色症"
no_bra,0,91967,,ノーブラ,つけてない
underboob,0,91877,,下パイ,"下乳,南半球,おっぱいスカート,underboobs"
alternate_hairstyle,0,91692,,髪型チェンジ,非常态发型
profile,0,91671,,横顔,"侧脸,侧面"
one_side_up,0,91615,,ワンサイドアップ,"サイドアップ,ハーフアップ"
turtleneck,0,91457,,タートルネック,"ハイネック,高领毛衣"
piercing,0,91284,,ピアス,ボディピアス
side-tie_bikini_bottom,0,91192,,紐ビキニ,
night,0,91121,,よる,"夜,夜景"
cameltoe,0,90601,,カメルトー,"メコスジ,すじ,スジ,骆驼趾,도끼자국,キャメルトゥ,まんすじ"
cum_in_pussy,0,89924,,中出し,"膣出し,中出,膣内射精,膣內射精,질내사정,體內射精,体内射精,체내사정,內射,内射"
expressionless,0,89861,,無表情,"平然,无表情"
bed_sheet,0,89834,,シーツ,ベッドシーツ
blue_background,0,88994,,BB,
bed,0,88846,,ベッド,
:3,0,88258,,猫口,ω
no_shoes,0,87446,,靴なし,生靴下
ass_visible_through_thighs,0,87312,,前から見えるお尻,
ocean,0,86964,,海,
hug,0,86939,,ハグ,拥抱
chinese_clothes,0,86868,,チャイナ服,"中国风,中華風,中国風"
embarrassed,0,86726,,恥じらい,"恥,恥ずかしい,はずかしい,羞恥,赤面"
pokemon_(creature),0,86640,creature,ポケモン×ポケモン,"ポケモン×人間,pokemon"
erection,0,86405,,勃起,勃起
bottomless,0,86177,,穿いてない,"ボトムレス,下脱ぎ,フルチン"
no_panties,0,85188,,ノーパン
from_above,0,84834,,ハイアングル,
blood,0,84626,,血,
watermark,0,83803,,ウォーターマーク,
beret,0,83627,,ベレー,贝雷帽
cat_girl,0,83587,,キャットガール,"猫系女子,猫耳娘,貓人,猫人,貓娘,猫娘"
wavy_hair,0,83159,,ウェーブヘア,ウェービーヘア
muscular,0,82749,,筋肉質,"筋肉,筋肉質"
thick_thighs,0,81977,,ぶっともも,thickthighs
